PAYER_NAME,PAYER_AREA,NATIONAL_PAYER_ID,SUBSCRIBER_ID,PAYER_PERSON_ID,SUBSCRIBER_OR_DEPENDENT_INDICATOR,RELATIONSHIP,MEMBER_ID,MEMBER_ID_FAMILY_SEQUENCE_NUMBER,PREVIOUS_MEMBER_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME_SUFFIX,DOB,LAST_4_DIGIT_SSN,GENDER,MARITAL_STATUS,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE,COUNTRY,ZIP_CODE,PHONE_NUMBER_1,PHONE_NUMBER_2,EMAIL_ADDRESS,GROUP_NUMBER,GROUP_NAME,EMPLOYER_NAME,EMPLOYER_SIZE,BUSINESS_MODEL,REASON_FOR_MEDICARE_ENTITLEMENT,COVERAGE_TYPE,FUNDING_MODEL,EMPLOYMENT_STATUS,COBRA_START_DATE,COBRA_END_DATE,NOT_SUBJECT_TO_COB_INDICATOR,NOT_SUBJECT_TO_COB_REASON,INITIAL_COVERAGE_DATE,CURRENT_COVERAGE_START_DATE,COVERAGE_EXPIRED_DATE,ESRD_COORDINATION_PERIOD_START_DATE,ESRD_COORDINATION_PERIOD_END_DATE,EXISTING_COB_PAYER_NAME,EXISTING_COB_NATIONAL_PAYER_ID,EXISTING_COB_SUBSCRIBER_ID,EXISTING_COB_SUBSCRIBER_FIRST_NAME,EXISTING_COB_SUBSCRIBER_LAST_NAME,EXISTING_COB_SUBSCRIBER_DOB,EXISTING_COB_SUBSCRIBER_EMPLOYMENT_STATUS,EXISTING_COB_RELATIONSHIP,EXISTING_COB_MEMBER_ID,EXISTING_COB_FAMILY_SEQUENCE_NUMBER,EXISTING_COB_FIRST_NAME,EXISTING_COB_LAST_NAME,EXISTING_COB_DOB,EXISTING_COB_GROUP_NAME,EXISTING_COB_MEMBER_EMPLOYMENT_STATUS,EXISTING_COB_BUSINESS_MODEL,EXISTING_COB_COVERAGE_TYPE,EXISTING_COB_INITIAL_COVERAGE_DATE,EXISTING_COB_CURRENT_COVERAGE_START_DATE,EXISTING_COB_COVERAGE_EXPIRED_DATE,COB_STATE,COVERAGE_OVERLAP_START_DATE,COVERAGE_OVERLAP_END_DATE,EXISTING_COB_VERIFY_DATE,EXISTING_COB_INDICATOR,EXISTING_COB_CODE,PRIMACY_DETERMINATION_CODE,COB_CLASSIFICATION_INDICATOR,PAYER_PRIMACY
LongSage,COB04DIFFNATPAYERID,1245319599,676977894P1,,1,0,676977894P1,,,Michael,,Jones,,20060922,6659,1,9,907 Troy Creek Apt. 271,,South Crystalton,NH,,1019,1001128307,,harristimothy@lopez.com,GRP01024,GMedicPlus,Hoover-Nelson,2.0,3,2.0,MH,1,,,,,,20210228,20201210,20211210,20210119.0,20220119.0,LongSage,,223058551P1,Michael,Jones,20060922,,0,223058551P1,,Michael,Jones,20060922,GMedicPlus,,1,MH,20210113,20210306,20220306,NM,20210306,20211210,,,,D011,,
LongSage,COB04DIFFADDLINE1,1245319599,308314515P1,,1,0,308314515P1,,,Rhonda,,Torres,,19540910,3182,2,1,38527 Scott Turnpike,,Kennethberg,KY,,66288,1001124859,,etran@valencia.biz,,,,,3,1.0,33,1,,,,0.0,,20201210,20210210,20220210,,,Caprock,,764040133P1,Stephanie,Curry,19480904,0.0,1,764040133P1,,Rhonda,Torres,19540910,HealthPro,,1,33,20210512,20210503,20220503,CT,20210503,20220210,,,,U007,,
LongSage,COB03Test1,1245319599,218452021P1,,1,0,218452021P1,,,John,,Parker,,20110810,6718,2,2,20455 Michael Turnpike,,Williammouth,HI,,93658,1001128788,,jenniferphillips@allen.biz,GRP01024,GMedicPlus,Obrien-Mullen,2.0,3,1.0,33,2,,,,,,20201209,20210317,20220317,,,Caprock,,831980793P1,Sabrina,Bryant,19900318,1.0,2,831980793P1,,Patricia,Morris,19851209,HealthPro,3.0,1,33,20210106,20210118,20220118,IN,20210317,20220118,,,,D001,,
LongSage,COB04DIFFNATPAYERID,1245319599,557176315P1,,2,1,770809719P1,,,Bernard,,Davis,,19500913,9339,1,1,USNS Stark,,Hughestown,MS,,53709,1001125421,,cindypalmer@carter.com,,,,,3,1.0,33,1,,,,1.0,,20210301,20210315,20220315,,,Cope Health,,501305539P1,Bernard,Davis,19500913,0.0,0,501305539P1,,Bernard,Davis,19500913,GMedicPlus,0.0,1,33,20210504,20210212,20220212,OH,20210315,20220212,,,,U007,,
LongSage,COB04DIFFGRPNAME,1245319599,373877083P1,,1,0,373877083P1,,,Aaron,,Harrington,,20030504,8639,1,2,06206 Thomas Forge,,South Joanna,HI,,58457,1001129450,,tiffany19@hotmail.com,GRP01023,HealthPro,Russo PLC,1.0,3,2.0,52,0,,,,,,20210409,20210222,20220222,20201128.0,20211128.0,Aristocrat,,241999998P1,Albert,Mosley,19950721,1.0,1,241999998P1,,Willie,Martinez,19881127,HealthPro,2.0,1,52,20210408,20210113,20220113,MN,20210222,20220113,,,,D011,,
LongSage,COB04DIFFGRPNAME,1245319599,115503515P1,,2,1,737868865P1,,,Jackie,,Williams,,19490702,5405,2,1,6325 Seth Junction,,Ashleyburgh,MI,,94180,1001125591,,alicia36@hotmail.com,,,,,3,1.0,1,1,,,,0.0,,20210317,20210421,20220421,,,Intriq Medical,,390161145P1,Jackie,Williams,19490702,0.0,0,390161145P1,,Jackie,Williams,19490702,GMedicPlus,0.0,1,1,20210414,20210207,20220207,WA,20210421,20220207,,,,U007,,
LongSage,COB04WK2CCXD,1245319599,243811818P1,,1,0,243811818P1,,,Larry,,Gonzalez,,19531230,867,1,0,0416 Butler Park Apt. 660,,Allisonmouth,IL,,8138,1001126321,,melissabraun@hotmail.com,,,,,3,0.0,35,0,,,,0.0,,20210410,20210519,20220519,,,Caprock,,507957186P1,Lawrence,Mcmillan,19560117,3.0,1,507957186P1,,Larry,Gonzalez,19531230,GMedicPlus,,2,35,20210201,20210206,20220206,MT,20210519,20220206,,,,U041,,
LongSage,COB04WK2COBINDICATOR,1245319599,930665826P1,,1,0,930665826P1,,,Dalton,,Taylor,,19550423,2805,1,1,520 Thomas View,,Mollyport,MO,,78597,1001126183,,cynthiahendricks@johnson.com,,,,,3,0.0,35,1,,,,0.0,,20201213,20210215,20220215,,,Grey Leaf,,393178159P1,Mark,Gordon,19620708,1.0,1,393178159P1,,Dalton,Taylor,19550423,GMedicPlus,,2,35,20210411,20210502,20220502,MS,20210502,20220215,,,,U041,,
LongSage,COB04WK2COBINDICATOR,1245319599,316918900P1,,1,0,316918900P1,,,Walter,,Suarez,,19540717,3627,1,1,38821 Benjamin Heights,,Port Deborahfort,AZ,,47569,1001125946,,john30@hotmail.com,,,,,3,2.0,AL,0,,,,0.0,,20201213,20210113,20220113,20201213.0,20211213.0,Caprock,,431270418P1,Walter,Suarez,19540717,3.0,0,431270418P1,,Walter,Suarez,19540717,HealthPro,3.0,1,AL,20210305,20201122,20211122,AZ,20210113,20211122,,,,U021,,
LongSage,COB04WK2PRIMACY,1245319599,279182499P1,,2,1,977318970P1,,,Hector,,Sloan,,19831029,2596,1,1,"PSC 8826, Box 3350",,West Zachary,NC,,57543,1001129596,,qcrawford@anthony.org,GRP01023,HealthPro,Howard-Fisher,2.0,3,1.0,MH,2,,,,,,20210227,20210404,20220404,,,Grey Leaf,,412368418P1,Stacy,Edwards,20010412,3.0,1,412368418P1,,Samantha,Bailey,19720317,GMedicPlus,2.0,1,MH,20210502,20210303,20220303,NJ,20210404,20220303,,,,D002,,
