PAYER_NAME,PAYER_AREA,NATIONAL_PAYER_ID,SUBSCRIBER_ID,PAYER_PERSON_ID,SUBSCRIBER_OR_DEPENDENT_INDICATOR,RELATIONSHIP,MEMBER_ID,MEMBER_ID_FAMILY_SEQUENCE_NUMBER,PREVIOUS_MEMBER_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,NAME_SUFFIX,DOB,LAST_4_DIGIT_SSN,GENDER,MARITAL_STATUS,ADDRESS_LINE_1,ADDRESS_LINE_2,CITY,STATE,COUNTRY,ZIP_CODE,PHONE_NUMBER_1,PHONE_NUMBER_2,EMAIL_ADDRESS,GROUP_NUMBER,GROUP_NAME,EMPLOYER_NAME,EMPLOYER_SIZE,BUSINESS_MODEL,REASON_FOR_MEDICARE_ENTITLEMENT,COVERAGE_TYPE,FUNDING_MODEL,EMPLOYMENT_STATUS,COBRA_START_DATE,COBRA_END_DATE,NOT_SUBJECT_TO_COB_INDICATOR,NOT_SUBJECT_TO_COB_REASON,INITIAL_COVERAGE_DATE,CURRENT_COVERAGE_START_DATE,COVERAGE_EXPIRED_DATE,ESRD_COORDINATION_PERIOD_START_DATE,ESRD_COORDINATION_PERIOD_END_DATE,EXISTING_COB_PAYER_NAME,EXISTING_COB_NATIONAL_PAYER_ID,EXISTING_COB_SUBSCRIBER_ID,EXISTING_COB_SUBSCRIBER_FIRST_NAME,EXISTING_COB_SUBSCRIBER_LAST_NAME,EXISTING_COB_SUBSCRIBER_DOB,EXISTING_COB_SUBSCRIBER_EMPLOYMENT_STATUS,EXISTING_COB_RELATIONSHIP,EXISTING_COB_MEMBER_ID,EXISTING_COB_FAMILY_SEQUENCE_NUMBER,EXISTING_COB_FIRST_NAME,EXISTING_COB_LAST_NAME,EXISTING_COB_DOB,EXISTING_COB_GROUP_NAME,EXISTING_COB_MEMBER_EMPLOYMENT_STATUS,EXISTING_COB_BUSINESS_MODEL,EXISTING_COB_COVERAGE_TYPE,EXISTING_COB_INITIAL_COVERAGE_DATE,EXISTING_COB_CURRENT_COVERAGE_START_DATE,EXISTING_COB_COVERAGE_EXPIRED_DATE,COB_STATE,COVERAGE_OVERLAP_START_DATE,COVERAGE_OVERLAP_END_DATE,EXISTING_COB_VERIFY_DATE,EXISTING_COB_INDICATOR,EXISTING_COB_CODE,PAYER_PRIMACY,COB_CLASSIFICATION_INDICATOR,PRIMACY_DETERMINATION_CODE
LongSage,COB04WK2DEPEMPSTATUS,1245319599,600586644P1,,1,0,600586644P1,,,Matthew,,Hayes,,19530830,854,2,9,913 Barker Street,,Roachshire,GA,,26680,1001130508,,stewarttracie@yahoo.com,GRP01023,HealthPro,,,3,1,AL,1,,,,,,20210509,20210427,20220427,,,LongSage,,862998046P1,Matthew,Hayes,19530830,,0,862998046P1,,Matthew,Hayes,19530830,GMedicPlus,,1,52,20210219,20210219,20220219,MA,20210427,20220219,,,,2,,
LongSage,COB04WK2OVERLAPEND,1245319599,665680776P1,,2,1,543963769P1,,,Gary,,Watts,,19951109,2362,2,2,8809 Paul Summit,,Dawnchester,MI,,50139,1001126937,,angelaparker@garcia.com,GRP01023,HealthPro,"Porter, Murphy and Garcia",1.0,3,1,AL,0,,,,,,20210322,20210208,20220208,,,LongSage,,304750407P1,Gary,Watts,19951109,,0,304750407P1,,Gary,Watts,19951109,GMedicPlus,3.0,1,1,20210206,20201231,20211231,OH,20210208,20211231,,,,1,,
LongSage,COB04WK2CCXD,1245319599,754621343P1,,2,2,754621344P1,,,Stephanie,,Miller,,19850405,8334,1,2,6431 Williams Prairie Suite 322,,Ibarraview,LA,,9468,1001129505,,ashley44@yahoo.com,GRP01023,HealthPro,"Blackwell, Brady and Wilson",0.0,3,2,1,2,,,,,,20201229,20210408,20220408,20210314.0,20220314.0,LongSage,,128725021P1,Stephanie,Miller,19850405,,0,128725021P1,,Stephanie,Miller,19850405,HealthPro,,1,AL,20210122,20201231,20211231,MD,20210408,20211231,,,,2,,
LongSage,COB04DIFFFIRSTNAME,1245319599,950061531P1,,2,2,950061532P1,,,Amanda,,Anderson,,19800526,7468,1,2,51247 Allen Roads,,East Robertport,MT,,86115,1001127735,,ericquinn@gmail.com,GRP01023,HealthPro,Gonzalez-Brooks,1.0,3,2,AL,2,,,,,,20170806,20210320,20220320,20210219.0,20220219.0,LongSage,,410034290P1,Amanda,Anderson,19800526,,0,410034290P1,,Amanda,Anderson,19800526,HealthPro,,1,MH,20210311,20210413,20220413,MI,20210413,20220320,,,,1,,
LongSage,COB04WK2PRIMACYDET,1245319599,510348916P1,,1,0,510348916P1,,,Barbara,,Ross,,20090906,6537,1,0,80566 Hannah River,,Angelahaven,KS,,22097,1001127020,,kathleen38@yahoo.com,GRP01023,HealthPro,,,3,2,52,1,,,,,,20160331,20210121,20220121,20210127.0,20220127.0,Intriq Medical,,598182244P1,Mary,Mitchell,19910221,3.0,2,598182244P1,,Chelsea,Randolph,19741104,GMedicPlus,3.0,1,35,20210513,20210417,20220417,CA,20210417,20220121,,,,2,,
LongSage,COB04WK2OVERLAPEND,1245319599,391539072P1,,1,0,391539072P1,,,Thomas,,Dean,,19750718,1675,2,0,951 Amber Islands Apt. 351,,South Tyler,ND,,31584,1001130374,,swilson@gmail.com,GRP01023,HealthPro,,,3,2,35,1,,,,,,20210421,20201206,20211206,20210228.0,20220228.0,LongSage,,510444161P1,Thomas,Dean,19750718,,0,510444161P1,,Thomas,Dean,19750718,HealthPro,,1,AL,20210213,20210126,20220126,AK,20210126,20211206,,,,2,,
LongSage,COB04WK2DEPEMPSTATUS,1245319599,625243719P1,,2,2,752880154P1,,,Amy,,Davidson,,20080418,4944,1,2,8119 Sanchez Creek Suite 051,,Nicholaschester,WY,,60070,1001130077,,desireemurillo@gmail.com,GRP01024,GMedicPlus,Hoover-Burke,0.0,3,1,1,0,,,,,,20210304,20201210,20211210,,,LongSage,,277524967P1,Amy,Davidson,20080418,,0,277524967P1,,Amy,Davidson,20080418,HealthPro,,1,AL,20210328,20210309,20220309,WY,20210309,20211210,,,,1,,
LongSage,COB04DIFFPAYERAREA,1245319599,374083103P1,,1,0,374083103P1,,,Jonathan,,Tate,,19770528,762,1,1,4558 Adam Fall,,Rogersview,AK,,86129,1001127637,,thompsondavid@lewis-vargas.org,GRP01023,HealthPro,Reed-Martin,1.0,3,1,MH,2,,,,,,20210311,20201203,20211203,,,LongSage,,504368099P1,Jonathan,Tate,19770528,,0,504368099P1,,Jonathan,Tate,19770528,HealthPro,,1,AL,20210131,20210215,20220215,SD,20210215,20211203,,,,1,,
LongSage,COB04WK2OVERLAPSTART,1245319599,186912614P1,,1,0,186912614P1,,,Janet,,Mcguire,,20131013,2349,1,1,69549 Jonathan Street Apt. 288,,Salazartown,IA,,33876,1001129026,,bennettjesse@palmer-pham.com,GRP01024,GMedicPlus,"Taylor, Rivera and Stone",2.0,3,1,AL,1,,,,,,20210401,20210420,20220420,,,Caprock,,708422136P1,Christopher,Ramos,20191124,2.0,2,708422136P1,,David,Bryan,19690505,GMedicPlus,2.0,1,35,20210415,20210325,20220325,WI,20210420,20220325,,,,1,,
LongSage,COB01Test1,1245319599,724757672P1,,1,0,724757672P1,,,Nancy,,Pope,,20061022,6099,1,0,5006 Barbara Haven,,Zacharyville,NC,,20008,1001127014,,wheelerkathleen@baker.com,GRP01024,GMedicPlus,"Hernandez, Phillips and Mcdonald",0.0,3,2,MH,0,,,,,,20160103,20210413,20220413,20210213.0,20220213.0,LongSage,,846756566P1,Nancy,Pope,20061022,,0,846756566P1,,Nancy,Pope,20061022,GMedicPlus,,1,AL,20210328,20201225,20211225,TN,20210413,20211225,,,,1,,
